序号,设备名称,技术参数,品牌,型号,数量,单位,备注
1,网络摄像机,分辨率:1920*1080@30fps;焦距:4mm;红外距离:30m;防护等级:IP67,海康威视,DS-2CD3T86FWDV2-I3S,10,台
2,硬盘录像机,NVR;32路接入;8盘位;支持H.265+;HDMI 4K输出,海康威视,DS-8632N-K8,2,台
3,监控硬盘,容量:8TB;转速:7200RPM;缓存:256MB;接口:SATA,希捷,ST8000VX001,16,块
4,核心交换机,48个千兆电口;4个万兆光口;交换容量:256Gbps;支持VLAN/ACL/QoS,华为,S5735S-L48T4S-A1,2,台
5,接入交换机,24个千兆POE口;POE功率:370W;支持802.3af/at;万兆上联,华为,S1730S-L24P-A,8,台
6,光纤收发器,速率:千兆;传输距离:20km;波长:1310nm;单模光纤,TP-Link,MC210CS,20,对
7,服务器,CPU:2*Intel Xeon Gold 4210;内存:256GB DDR4;硬盘:4TB SSD+8TB SATA;RAID卡,戴尔,PowerEdge R750,2,台
8,精密空调,制冷量:30kW;风量:6000m³/h;加湿量:8kg/h;噪声:<55dB,施耐德,ACRD061,1,台
9,UPS电源,容量:40kVA/40kW;输入:380V;输出:380V;电池:32节12V,艾默生,UH31-40KL,1,台
10,机柜,规格:42U;尺寸:600*1100*2000mm;承重:1500kg;前网孔门,联想,NetCol5000-A042K,4,台
